id,first_name,second_name,team,element_type,code
208,Matheus,França de Oliveira,7,3,536694
209,Remi,Matthews,7,1,169593
210,Tyrick,Mitchell,7,2,244723
211,Daniel,Muñoz,7,2,247348
212,David,Ozoh,7,3,531989
213,Jesurun,Rak-Sakyi,7,3,450542
214,Jeffrey,Schlupp,7,3,86417
215,Joel,Ward,7,2,55494
216,Adam,Wharton,7,3,496221
445,Matt,Turner,7,1,224068
585,Ismaïla,Sarr,7,3,232185
644,Franco,Umeh-Chibueze,7,3,574398
645,Justin,Devenny,7,3,489706
646,Asher,Agbinone,7,3,579075
647,Kaden,Rodney,7,3,530318
650,Maxence,Lacroix,7,2,437499
156,Armando,Broja,8,4,440323
217,Abdoulaye,Doucouré,8,3,121599
218,Norberto Bercique,Gomes Betuncal,8,4,486385
219,Jarrad,Branthwaite,8,2,480455
220,Dominic,Calvert-Lewin,8,4,177815
221,Séamus,Coleman,8,2,59949
222,Idrissa,Gueye,8,3,80801
223,James,Garner,8,3,232928
224,Jack,Harrison,8,3,221399
225,Mason,Holgate,8,2,194164
226,Tim,Iroegbunam,8,3,490094
227,João,Neves Virgínia,8,1,222627
228,Michael,Keane,8,2,106611
229,Neal,Maupay,8,4,115382
230,Dwight,McNeil,8,3,433154
231,Vitalii,Mykolenko,8,2,224967
232,Iliman,Ndiaye,8,4,440993
234,Nathan,Patterson,8,2,243571
235,Jordan,Pickford,8,1,111234
236,James,Tarkowski,8,2,17761
237,Youssef,Ramalho Chermiti,8,4,491012
238,Ashley,Young,8,2,18892
577,Jesper,Lindstrøm,8,3,463903
582,Jake,O'Brien,8,2,512462
603,Harrison,Armstrong,8,3,609873
614,Jenson,Metcalfe,8,3,491557
624,Asmir,Begovic,8,1,40349
627,Roman,Dixon,8,2,496178
651,Orel,Mangala,8,3,179519
10,Reiss,Nelson,9,3,200641
19,Emile,Smith Rowe,9,3,209289
191,Joachim,Andersen,9,2,174874
239,Adama,Traoré,9,3,159533
240,Andreas,Hoelgebaum Pereira,9,3,156689
241,Calvin,Bassey,9,2,232892
242,Steven,Benda,9,1,428971
243,Tom,Cairney,9,3,76357
244,Timothy,Castagne,9,2,166477
245,Issa,Diop,9,2,219924
246,Luke,Harris,9,3,515024
247,Alex,Iwobi,9,3,153133
248,Bernd,Leno,9,1,80201
249,Saša,Lukić,9,3,212314
250,Kevin,Mbabu,9,2,120721
251,Rodrigo,Muniz Carvalho,9,4,244042
252,Raúl,Jiménez,9,4,102057
253,Tim,Ream,9,2,82514
254,Harrison,Reed,9,3,153366
255,Antonee,Robinson,9,2,169528
256,Jay,Stansfield,9,4,490146
257,Kenny,Tete,9,2,167074
258,Carlos Vinícius,Alves Morais,9,4,245824
259,Harry,Wilson,9,3,153682
579,Ryan,Sessegnon,9,2,184349
586,Jorge,Cuenca Barreno,9,2,246301
604,Josh,King,9,3,577725
605,Martial,Godo,9,3,573062
622,Sander,Berge,9,3,207189
260,Ali,Al-Hamadi,10,4,462387
261,Elkan,Baggott,10,2,517178
262,Nathan,Broadhead,10,3,173818
263,Cameron,Burgess,10,2,122411
264,Wes,Burns,10,3,149929
265,Conor,Chaplin,10,3,196411
266,Harry,Clarke,10,2,232228
267,Leif,Davis,10,2,455084
268,Liam,Delap,10,4,463034
269,George,Edmundson,10,2,214964
270,Jacob,Greaves,10,2,449429
271,Marcus,Myers-Harness,10,3,167191
272,George,Hirst,10,4,222625
273,Cameron,Humphreys,10,3,524180
274,Omari,Giraud-Hutchinson,10,3,503301
275,Ben,Johnson,10,2,222018
276,Freddie,Ladapo,10,4,94926
277,Massimo,Luongo,10,3,106606
278,Sam,Morsy,10,3,74944
279,Corrie,Ndaba,10,2,246265
280,Cieran,Slicker,10,1,434044
281,Jack,Taylor,10,3,231899
282,Axel,Tuanzebe,10,2,180804
283,Christian,Walton,10,1,108813
284,Luke,Woolfenden,10,2,220583
359,Kalvin,Phillips,10,3,155405
568,Arijanet,Muric,10,1,232917
583,Conor,Townsend,10,2,108053
611,Sam,Szmodics,10,3,172453
619,Jens,Cajuste,10,3,454667
630,Dara,O'Shea,10,2,216616
631,Jack,Clarke,10,3,443261
632,Chiedozie,Ogbene,10,3,229164
117,Facundo,Buonanotte,11,3,536916
192,Jordan,Ayew,11,3,80146
198,Odsonne,Edouard,11,4,199670
285,Boubakary,Soumaré,11,3,225902
286,Tom,Cannon,11,4,461416
287,Hamza,Choudhury,11,3,197469
288,Conor,Coady,11,2,94147
289,Patson,Daka,11,4,245419
290,Bobby,De Cordova-Reid,11,3,96994
291,Wout,Faes,11,2,218218
292,Michael,Golding,11,3,549640
293,Mads,Hermansen,11,1,467189
294,Daniel,Iversen,11,1,207270
295,James,Justin,11,2,220627
296,Victor,Kristiansen,11,2,481510
297,Wanya,Marçal-Madivádua,11,3,461584
298,Stephy,Mavididi,11,3,154048
299,Kasey,McAteer,11,3,461587
300,Wilfred,Ndidi,11,3,203341
301,Caleb,Okoli,11,2,473341
302,Ricardo,Barbosa Pereira,11,2,111931
303,Harry,Souttar,11,2,194190
304,Jakub,Stolarczyk,11,1,436680
305,Luke,Thomas,11,2,244619
306,Jamie,Vardy,11,4,101668
307,Jannik,Vestergaard,11,2,93100
308,Danny,Ward,11,1,95463
309,Harry,Winks,11,3,157668
501,Oliver,Skipp,11,3,209042
570,Abdul,Fatawu,11,3,531442
606,Will,Alves,11,3,532534
616,Ben,Nelson,11,2,501770
635,Bilal,El Khannouss,11,3,513527
310,Alisson,Ramses Becker,12,1,116535
311,Trent,Alexander-Arnold,12,2,169187
312,Stefan,Bajčetić Maquieira,12,3,535928
313,Conor,Bradley,12,2,492777
315,Bobby,Clark,12,3,491970
316,Darwin,Núñez Ribeiro,12,4,447203
317,Diogo,Teixeira da Silva,12,3,194634
318,Ben,Doak,12,3,496208
319,Harvey,Elliott,12,3,444884
320,Endo,Wataru,12,3,158983
321,Cody,Gakpo,12,4,243298
322,Joe,Gomez,12,2,171287
323,Ryan,Gravenberch,12,3,441266
324,Curtis,Jones,12,3,206915
325,Caoimhin,Kelleher,12,1,200720
326,Ibrahima,Konaté,12,2,204716
327,Luis,Díaz,12,3,244731
328,Mohamed,Salah,12,3,118748
329,Alexis,Mac Allister,12,3,243016
330,James,McConnell,12,3,491501
331,Tyler,Morton,12,3,440148
332,Nathaniel,Phillips,12,2,197464
333,Jarell,Quansah,12,2,441428
334,Rhys,Williams,12,2,219937
335,Andrew,Robertson,12,2,122798
336,Dominik,Szoboszlai,12,3,424876
337,Konstantinos,Tsimikas,12,2,214285
