second_name_defender,season_name,element_code,start_cost,end_cost,goals_scored,assists,minutes,clean_sheets,goals_conceded,expected_goal_involvements,goals_scored_per_90,assists_per_90,expected_goals,expected_assists,expected_goals_per_90,expected_assists_per_90,yellow_cards,red_cards,total_points,ict_index,influence,creativity,threat,bonus,penalties_missed,penalties_saved,starts,clean_sheets_per_90,defensive_effectiveness,expected_goals_conceded,goals_conceded_per_90,defensive_effectiveness_trend,goals_conceded_trend,clean_sheets_trend,first_name_defender,id_defender,id_ref,second_name_ref,first_name_ref,ACR,EAC,OII,OE,OAI,MOA,Assist Efficiency,OII_Assist_Interaction,DCB,OASIS
Kerkez,2023,544877,45,44,0,2,1966,6,37,2.38,0.0,0.091556459816887,1.32,1.06,0.0604272634791454,0.0485249237029501,4,1,59,67.7,310.0,216.5,150.0,1,0,0,22,0.2746693794506612,-0.5676500508647,36.85,1.6937945066124112,,,,Milos,70,70,Kerkez,Milos,0.001017293997965412,0.1089521871820955,58.32746693794507,4.698817542565413e-06,181.54,448.8584474885845,0.0009597113188352943,0.05597753021933729,3.0000000000000027,59.6393879345093
Kesler-Hayden,2023,465390,40,40,0,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.11,0.0,,,,Kaine,43,43,Kesler-Hayden,Kaine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kilman,2018,214048,40,40,3,3,10907,31,159,4.71,0.014352286967418533,0.021592854340496584,3.09,1.62,0.01374895888041845,0.007180197242425683,17,0,361,58.833333333333336,411.5,74.68333333333334,100.83333333333333,28,0,0,75,0.1850108804662279,-0.3131516813995069,123.77000000000001,0.9678900839649951,-0.07515640353588163,6.36,1.24,Max,524,524,Kilman,Max,0.0005501054368754011,0.020929156122844135,25.03221877108912,7.3658393690078256e-06,185.63333333333333,1018.3940242763771,0.00016978562866524726,0.00425011100093537,5.147034445667585,47.13973618529624
Kiwior,2022,440854,40,40,2,3,1367,8,14,1.4500000000000002,0.1536530535781191,0.143312101910828,0.84,0.61,0.04593855376545515,0.02972124391157735,1,0,93,28.3,163.7,62.400000000000006,55.5,2,0,0,16,0.49838890970400895,-0.20762832521543645,11.61,1.0174597227426003,0.1311952041963282,1.0,2.0,Jakub,8,8,Kiwior,Jakub,0.0036576444769568397,0.0756597976770325,18.1344548520045,5.861609738712884e-05,82.51999999999998,211.93798449612402,0.0035976830920886947,0.06524202160530237,1.6782740348221048,23.759239002454095
Konsa Ngoyo,2019,199798,45,43,6,3,14101,44,227,5.359999999999999,0.04049860682634426,0.023529479479335418,3.64,1.72,0.02086655920452116,0.00977083373793476,21,2,463,83.58,529.4399999999999,105.85999999999999,199.0,29,0,0,72,0.27597820655447924,-0.48026056018142116,102.95,1.4766296070080323,0.030082063094978375,1.5999999999999996,0.9500000000000002,Ezri,44,44,Konsa Ngoyo,Ezri,0.000638252606198142,0.03063739294245592,41.095258286574335,6.0292141148511436e-06,275.048,981.9637883008357,0.00012369236554227557,0.005083169710037182,4.310267922688145,71.44790715964815
Krafth,2019,111773,45,43,1,3,4847,17,85,0.96,0.0139968895800933,0.0427333247156516,0.2,0.76,0.00396039603960396,0.01504950495049504,11,0,174,28.7,171.88,72.92,41.8,6,0,0,8,0.24860702886452607,-0.42170774636912256,13.04,1.3028763947873323,0.07191296488555188,-1.5,0.1,Emil,405,405,Krafth,Emil,0.0008252527336496802,0.019009900990099,18.782418753246734,1.1317234416479433e-05,78.204,977.2177419354839,0.0008143941450490265,0.015296291862503177,4.382268460480205,23.15409651653329
Kristiansen,2022,481510,45,45,0,1,891,0,21,0.72,0.0,0.101010101010101,0.12,0.6,0.0121212121212121,0.0606060606060606,2,0,16,30.8,173.2,119.3,14.0,0,0,0,11,0.0,-0.8484848484848485,17.88,2.121212121212121,,,,Victor,296,296,Kristiansen,Victor,0.001122334455667789,0.0727272727272727,25.29030303030303,9.407665177433269e-06,65.11999999999999,518.0232558139535,0.0018705574261129816,0.047306964141980976,0.0,23.140644968200522
Lamptey,2019,232792,40,41,1,9,4400,13,71,2.08,0.020293122886133018,0.1727007410328038,0.54,1.54,0.01494054368659246,0.044082867550399855,12,1,189,40.9,141.88,174.76,93.2,9,0,0,13,0.2584623324297642,-0.4825613592013559,20.72,1.464865730433154,-0.04794243996188985,1.5499999999999998,-0.10000000000000003,Tariq,131,131,Lamptey,Tariq,0.0022727272727272726,0.05902341123699231,44.33192747146429,1.3004848207411724e-05,97.344,364.2384105960265,0.0013282172373081465,0.05888243023069342,1.3392256478077773,37.202385628491264
Larios López,2022,515571,40,40,0,0,150,0,2,0.02,0.0,0.0,0.0,0.02,0.0,0.012,0,0,4,3.9,27.6,7.8,4.0,0,0,0,2,0.0,-0.4800000000000001,2.48,1.2000000000000002,,,,Juan,464,464,Larios López,Juan,0.0,0.012,1.96,0.0,11.059999999999999,7500.0,0.0,0.0,0.0,2.9959999999999996
Lascelles,2015,101148,45,42,10,2,13874,40,217,0.98,0.06619646086016596,0.009572813210482225,0.85,0.13,0.0135125152943014,0.00177918282872985,31,1,468,51.8625,359.325,34.1125,124.375,30,0,0,15,0.2306466428498384,-0.5240044087569571,22.419999999999998,1.5406576647422312,0.004565494076634242,0.34285714285714264,0.08571428571428573,Jamaal,407,407,Lascelles,Jamaal,0.0008649272019605016,0.01529169812303125,19.28935042830721,2.5355139669050987e-05,180.35750000000002,1068.875192604006,0.0011088810281544893,0.021389594735373538,3.0440656279058538,43.787610537586296
