second_name_defender,season_name,element_code,start_cost,end_cost,goals_scored,assists,minutes,expected_goal_involvements,goals_scored_per_90,assists_per_90,expected_goals,expected_assists,expected_goals_per_90,expected_assists_per_90,yellow_cards,red_cards,total_points,ict_index,influence,creativity,threat,penalties_missed,penalties_saved,starts,clean_sheets_per_90,defensive_effectiveness,goals_conceded_per_90,defensive_effectiveness_trend,goals_conceded_trend,clean_sheets_trend,first_name_defender,id_defender,second_name_ref,first_name_ref,DS,DSS
Cash,2020,199796,50,50,6,9,9705,8.03,0.04769858169485812,0.08476529881684007,4.61,3.42,0.04888680624164357,0.0377578160837285,26,1,357,108.19999999999999,510.95,298.775,272.25,0,0,43,0.2720174537041051,-0.45237761591841397,1.40296149350014,-0.029427178336057864,0.8333333333333334,-1.0833333333333333,Matty,32,Cash,Matty,0.034482758620689655,0.17037914931147774
Castagne,2020,166477,55,58,6,11,10354,7.640000000000001,0.052163003669879825,0.0916946997416415,3.45,4.1899999999999995,0.025966997249040648,0.032347076448634125,8,0,388,104.57499999999999,526.8,316.6,200.5,0,0,65,0.2534243552983029,-0.47882884400546283,1.4504964653119599,-0.0009742202121976682,1.8333333333333333,0.4166666666666667,Timothy,244,Castagne,Timothy,0.1111111111111111,0.15337058054006275
Cavaco Cancelo,2019,121145,55,51,5,17,8003,2.36,0.06190423358505877,0.1512106810611114,0.83,1.53,0.014670070699135875,0.02704241948153965,19,2,457,139.45,476.95,503.475,415.5,0,0,16,0.4689614016014256,-0.1596613660017404,0.8681148166057766,0.006530582010484902,2.4166666666666665,2.0,João,353,Cavaco Cancelo,João,0.041666666666666664,0.3631381286900854
Chalobah,2021,180736,50,47,4,1,3997,1.5,0.09380987370403354,0.020732550103662734,1.02,0.48,0.021687841305717066,0.0110542080851733,7,0,187,49.93333333333333,317.06666666666666,81.73333333333333,100.33333333333333,0,0,28,0.3751210639603206,-0.28150477605869356,1.0788830041070545,-0.14075238802934675,3.333333333333333,-1.6666666666666665,Trevoh,159,Chalobah,Trevoh,0.125,0.27556784202785084
Chilwell,2016,172850,45,43,12,22,13142,6.789999999999999,0.12350768768166931,0.14806829743214212,2.68,4.11,0.0292037922648496,0.04421575750447687,21,1,604,92.4875,364.925,361.6,198.0,0,0,24,0.3192836798659219,-0.3768967896148151,1.2615256539029598,0.08777839146859383,-0.17142857142857132,0.7142857142857143,Ben,160,Chilwell,Ben,0.041666666666666664,0.21691629448488958
Clyne,2012,57328,40,41,4,16,21212,1.02,0.010666339802198364,0.066102573467132,0.21,0.8099999999999999,0.001287027579162409,0.0042840305761654,24,0,777,28.7,131.65454545454546,110.6,44.27272727272727,0,0,33,0.31429193237990716,-0.35075003333284616,1.1911670157120227,0.01229920437014332,-3.3200000000000003,-0.22000000000000003,Nathaniel,196,Clyne,Nathaniel,0.04,0.22390930197916903
Coady,2012,94147,40,40,6,1,15601,1.33,0.02955647966200235,0.00716332378223495,0.84,0.49,0.00601719197707735,0.0035100286532951165,21,0,534,60.78333333333333,504.73333333333335,40.03333333333333,62.5,0,0,23,0.24114028720246475,-0.30405622442760877,1.0012808482714868,-0.07297349386262605,8.32,2.0,Conor,288,Coady,Conor,0.045454545454545456,0.20966289657743553
Coleman,2009,59949,45,45,22,31,28653,1.92,0.051119855324835366,0.136733746049481,0.3,1.62,0.0010882708585247868,0.0096913730432985,34,2,1236,38.36666666666667,190.56,107.85333333333332,85.0,0,0,27,0.3178835833773006,-0.38471920397526654,1.279681593315467,0.041961462694744045,1.6857142857142857,0.4142857142857143,Séamus,221,Coleman,Séamus,0.02564102564102564,0.21359527609886544
Collins,2021,432830,45,43,3,1,6130,2.98,0.0472531720251456,0.011325028312570767,1.82,1.16,0.0218168447132879,0.0142375179239991,7,2,188,75.73333333333333,508.93333333333334,89.53333333333335,156.66666666666666,0,0,48,0.23535729131813496,-0.5688824235947779,1.65756335030508,-0.058093906408167355,6.0,0.16666666666666652,Nathan,88,Collins,Nathan,0.08333333333333333,0.11678752262511592
Colwill,2022,460028,45,44,1,3,3012,3.54,0.02508361204013375,0.09897523765589725,2.7,0.8400000000000001,0.08445145559088585,0.024747516351714252,3,0,111,53.05,315.4,107.55000000000001,106.5,0,0,33,0.2362554986243142,-0.4767121933538725,1.4280359820089954,0.055307511079625,2.5,1.0,Levi,162,Colwill,Levi,0.25,0.14634196392943444
Coufal,2020,164555,45,48,0,22,10531,5.35,0.0,0.17840233959122473,0.63,4.72,0.00546278139461915,0.039623948096769473,16,2,341,115.55,544.4,475.5,134.25,0,0,60,0.19833819171937583,-0.5426873201789433,1.555056492166734,-0.047300488520682436,1.0,-1.0833333333333333,Vladimír,516,Coufal,Vladimír,0.047619047619047616,0.10804586548947061
Cresswell,2014,55459,55,56,10,34,24795,3.65,0.030131283467150584,0.1045586174788792,0.36,3.29,0.0014496644295301999,0.02066444510191687,33,1,905,83.17,359.02000000000004,373.61,97.3,0,0,28,0.2048308836365464,-0.5182487634680519,1.500452792306676,-0.0154429162517118,-1.3777777777777775,-0.35555555555555557,Aaron,517,Cresswell,Aaron,0.027777777777777776,0.1187439590296303
Cucurella Saseta,2021,179268,50,49,1,6,6541,3.51,0.009711880867594667,0.09613827595037332,1.54,1.97,0.026348104241274733,0.03424967244399623,20,0,235,101.43333333333334,472.8666666666666,405.7333333333333,133.66666666666666,0,0,41,0.2819820004228366,-0.40460881154502704,1.293504029285404,-0.0391448071969227,-4.166666666666666,-2.0,Marc,163,Cucurella Saseta,Marc,0.047619047619047616,0.1908734554530889
Dalot Teixeira,2018,216051,55,53,3,7,8197,8.07,0.019706467277109764,0.06942074703958284,4.16,3.91,0.030297836979360636,0.02629456223076434,17,1,298,82.2,365.64,312.32,144.2,0,0,59,0.19693466016352182,-0.5151513787057508,1.4848131069278987,0.022847437781441403,2.3499999999999996,0.95,Diogo,369,Dalot Teixeira,Diogo,0.05,0.11617048059450928
Davies,2012,115556,40,44,10,25,22687,5.390000000000001,0.03488271808051158,0.10384430619749359,3.3499999999999996,2.04,0.01949166511980759,0.008767149959243624,39,0,911,56.10833333333333,266.0833333333333,190.875,103.5,0,0,38,0.2941738492416317,-0.35821469733109246,1.189710592569363,0.006578188614952927,-2.1999999999999997,-0.18181818181818182,Ben,484,Davies,Ben,0.025,0.21244839158987236
Davis,2020,455084,40,38,0,0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0.3,2.8,0.6,0.0,0,0,0,0.0,0.0,0.0,0.006578188614952927,-2.1999999999999997,-0.18181818181818182,Leif,267,Davis,Leif,1.0,0.3
