season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,id,first_name,second_name,unique_id
2019/20,203341,50,50,85,2671,2,1,12,32,0,0,0,6,0,0,5,443,611.6,254.4,205.0,107.2,0,0.0,0.0,0.0,0.0,300,Wilfred,Ndidi,203341_2019/20
2020/21,203341,50,48,79,2175,1,4,7,31,0,0,0,6,0,0,11,430,549.2,234.5,78.0,86.2,0,0.0,0.0,0.0,0.0,300,Wilfred,Ndidi,203341_2020/21
2021/22,203341,50,48,41,1617,0,1,5,26,0,0,0,4,0,0,0,240,322.0,66.0,179.0,57.0,0,0.0,0.0,0.0,0.0,300,Wilfred,Ndidi,203341_2021/22
2022/23,203341,50,48,41,1672,0,0,1,39,0,0,0,4,0,0,0,257,317.6,73.0,45.0,43.2,19,0.22,0.18,0.4,32.28,300,Wilfred,Ndidi,203341_2022/23
2020/21,244858,45,45,12,254,1,0,0,6,0,0,0,0,0,0,0,42,72.4,30.8,161.0,26.5,0,0.0,0.0,0.0,0.0,314,Fábio,Freitas Gouveia Carvalho,244858_2020/21
2022/23,244858,55,51,27,339,2,1,0,3,0,0,0,0,0,0,0,80,89.4,36.7,173.0,29.7,4,1.11,0.25,1.36,5.01,314,Fábio,Freitas Gouveia Carvalho,244858_2022/23
2022/23,482442,45,42,14,211,0,1,0,11,0,0,0,1,0,0,0,60,55.4,26.8,4.0,8.6,2,0.06,0.03,0.09,5.8,499,Pape Matar,Sarr,482442_2022/23
2023/24,482442,45,44,86,2063,3,3,9,27,0,0,0,9,0,0,4,397,406.0,373.3,317.0,110.2,27,3.17,2.09,5.26,34.83,499,Pape Matar,Sarr,482442_2023/24
2021/22,503301,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,274,Omari,Giraud-Hutchinson,503301_2021/22
2022/23,503301,45,42,1,22,0,0,0,0,0,0,0,0,0,0,0,2,1.0,1.8,4.0,0.7,0,0.0,0.02,0.02,0.63,274,Omari,Giraud-Hutchinson,503301_2022/23
2017/18,200641,50,47,5,144,0,0,0,3,0,0,0,0,0,0,0,23,12.0,29.7,11.0,5.3,0,0.0,0.0,0.0,0.0,10,Reiss,Nelson,200641_2017/18
2018/19,200641,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,Reiss,Nelson,200641_2018/19
