season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2022/23,109745,45,45,118,2565,0,0,9,33,0,0,0,1,0,91,15,575,733.4,0.1,0,73.3,29,0,0,0,38.34
2023/24,109745,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/24,489639,45,44,68,1890,0,0,4,28,0,0,0,3,0,65,7,417,541.4,1,0,54.3,21,0,0,0,31.6
2020/21,215059,45,45,101,2430,0,0,10,27,0,0,0,2,0,66,8,514,542.2,10,4,55.8,0,0,0,0,0
2021/22,215059,45,45,126,3330,0,0,11,42,0,0,0,3,1,101,8,679,811,30,0,84,0,0,0,0,0
2022/23,215059,45,44,82,2070,0,0,6,30,0,1,0,2,0,48,10,380,439,0.1,0,43.9,23,0,0.01,0.01,27.6
2023/24,215059,45,45,59,1433,0,0,3,25,0,1,0,2,0,53,7,317,450.6,0.1,0,45.2,16,0,0,0,23.72
2006/07,17601,50,50,139,3240,0,1,0,55,0,2,0,1,0,117,4,0,0,0,0,0,0,0,0,0,0
2007/08,17601,55,55,113,3125,0,2,0,46,0,1,0,1,1,82,1,0,0,0,0,0,0,0,0,0,0
2008/09,17601,50,44,110,3150,0,0,0,64,0,0,0,3,0,140,5,0,0,0,0,0,0,0,0,0,0
2010/11,17601,40,40,72,2880,0,0,2,58,1,0,0,1,0,94,1,0,0,0,0,0,0,0,0,0,0
2019/20,17601,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/21,17601,40,39,7,90,0,0,0,3,0,1,0,0,0,2,1,27,37.4,0,0,3.7,0,0,0,0,0
2021/22,17601,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/23,17601,40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/24,17601,40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/24,138001,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/22,248164,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/23,248164,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/24,248164,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/18,67089,45,45,53,1080,0,0,4,11,0,1,0,0,0,26,5,215,234.6,0,0,23.3,0,0,0,0,0
2018/19,67089,50,50,131,3420,0,0,11,48,0,0,0,1,0,96,10,647,783.6,0,0,78.4,0,0,0,0,0
2019/20,67089,50,51,143,3420,0,0,11,58,0,0,0,0,0,139,7,719,1019,0,0,102,0,0,0,0,0
2020/21,67089,50,48,48,1170,0,0,3,19,0,0,0,0,0,45,6,255,346.8,0,0,34.6,0,0,0,0,0
2021/22,67089,45,44,96,2340,0,0,8,35,0,0,0,1,0,73,9,465,590.8,20,0,61.1,0,0,0,0,0
2022/23,67089,45,41,11,156,0,0,1,1,0,0,0,0,0,10,1,49,54,0,0,5.4,1,0,0,0,3.33
2023/24,67089,40,43,75,1984,0,0,4,42,0,1,0,1,0,88,3,426,661,10,0,67.2,22,0,0,0,44.34
2021/22,169593,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/23,169593,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/24,169593,40,39,1,3,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0.1,0,0,0,0,0.07
2013/14,111234,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014/15,111234,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015/16,111234,40,39,4,180,0,0,0,6,0,0,0,0,0,11,0,41,0,0,0,0,0,0,0,0,0
2016/17,111234,40,42,102,2610,0,0,4,50,0,0,0,0,0,135,9,608,933,40,0,97.4,0,0,0,0,0
2017/18,111234,50,49,145,3420,0,0,10,58,0,1,0,0,0,121,16,724,873.6,30.1,4,90.7,0,0,0,0,0
2018/19,111234,50,49,161,3420,0,0,14,46,0,3,0,1,0,94,13,706,776.4,10,0,78.5,0,0,0,0,0
2019/20,111234,55,52,117,3420,0,0,9,56,0,0,0,2,0,94,5,626,755.6,13,0,76.7,0,0,0,0,0
2020/21,111234,50,48,114,2742,0,0,10,39,0,0,0,1,0,89,8,570,698.4,10.1,0,70.9,0,0,0,0,0
2021/22,111234,50,48,116,3150,0,0,7,58,0,0,0,2,0,117,12,624,863.2,43,0,90.5,0,0,0,0,0
2022/23,111234,45,44,124,3330,0,1,8,57,0,1,0,6,0,124,10,666,997.8,23,0,102,37,0,0.35,0.35,66.41
2023/24,111234,45,48,153,3420,0,0,13,51,1,0,0,5,0,121,22,734,969.2,43.4,0,101.3,38,0,0.46,0.46,56.01
2020/21,111782,45,45,25,630,0,0,2,9,0,0,0,1,0,21,3,119,166.4,0,0,16.7,0,0,0,0,0
