id,first_name,second_name,team,element_type
217,Abdoulaye,Doucouré,8,3
218,Norberto Bercique,Gomes Betuncal,8,4
219,Jarrad,Branthwaite,8,2
220,Dominic,Calvert-Lewin,8,4
221,Séamus,Coleman,8,2
222,Idrissa,Gueye,8,3
223,James,Garner,8,3
224,Jack,Harrison,8,3
225,Mason,Holgate,8,2
226,Tim,Iroegbunam,8,3
227,João,Neves Virgínia,8,1
228,Michael,Keane,8,2
229,Neal,Maupay,8,4
230,Dwight,McNeil,8,3
231,Vitalii,Mykolenko,8,2
232,Iliman,Ndiaye,8,4
234,Nathan,Patterson,8,2
235,Jordan,Pickford,8,1
236,James,Tarkowski,8,2
237,Youssef,Ramalho Chermiti,8,4
238,Ashley,Young,8,2
577,Jesper,Lindstrøm,8,3
582,Jake,O'Brien,8,2
603,Harrison,Armstrong,8,3
614,Jenson,Metcalfe,8,3
624,Asmir,Begovic,8,1
627,Roman,Dixon,8,2
10,Reiss,Nelson,9,3
19,Emile,Smith Rowe,9,3
191,Joachim,Andersen,9,2
239,Adama,Traoré,9,3
240,Andreas,Hoelgebaum Pereira,9,3
241,Calvin,Bassey,9,2
242,Steven,Benda,9,1
243,Tom,Cairney,9,3
244,Timothy,Castagne,9,2
245,Issa,Diop,9,2
246,Luke,Harris,9,3
247,Alex,Iwobi,9,3
248,Bernd,Leno,9,1
249,Saša,Lukić,9,3
250,Kevin,Mbabu,9,2
251,Rodrigo,Muniz Carvalho,9,4
252,Raúl,Jiménez,9,4
253,Tim,Ream,9,2
254,Harrison,Reed,9,3
255,Antonee,Robinson,9,2
256,Jay,Stansfield,9,4
257,Kenny,Tete,9,2
258,Carlos Vinícius,Alves Morais,9,4
259,Harry,Wilson,9,3
579,Ryan,Sessegnon,9,2
586,Jorge,Cuenca Barreno,9,2
604,Josh,King,9,3
605,Martial,Godo,9,3
622,Sander,Berge,9,3
260,Ali,Al-Hamadi,10,4
261,Elkan,Baggott,10,2
262,Nathan,Broadhead,10,3
263,Cameron,Burgess,10,2
264,Wes,Burns,10,3
265,Conor,Chaplin,10,3
266,Harry,Clarke,10,2
267,Leif,Davis,10,2
268,Liam,Delap,10,4
269,George,Edmundson,10,2
270,Jacob,Greaves,10,2
271,Marcus,Myers-Harness,10,3
272,George,Hirst,10,4
273,Cameron,Humphreys,10,3
274,Omari,Giraud-Hutchinson,10,3
275,Ben,Johnson,10,2
276,Freddie,Ladapo,10,4
277,Massimo,Luongo,10,3
278,Sam,Morsy,10,3
279,Corrie,Ndaba,10,2
280,Cieran,Slicker,10,1
281,Jack,Taylor,10,3
282,Axel,Tuanzebe,10,2
283,Christian,Walton,10,1
284,Luke,Woolfenden,10,2
359,Kalvin,Phillips,10,3
568,Arijanet,Muric,10,1
583,Conor,Townsend,10,2
611,Sam,Szmodics,10,3
619,Jens,Cajuste,10,3
630,Dara,O'Shea,10,2
631,Jack,Clarke,10,3
632,Chiedozie,Ogbene,10,3
117,Facundo,Buonanotte,11,3
192,Jordan,Ayew,11,3
198,Odsonne,Edouard,11,4
285,Boubakary,Soumaré,11,3
286,Tom,Cannon,11,4
287,Hamza,Choudhury,11,3
288,Conor,Coady,11,2
289,Patson,Daka,11,4
290,Bobby,De Cordova-Reid,11,3
291,Wout,Faes,11,2
292,Michael,Golding,11,3
293,Mads,Hermansen,11,1
294,Daniel,Iversen,11,1
295,James,Justin,11,2
296,Victor,Kristiansen,11,2
297,Wanya,Marçal-Madivádua,11,3
298,Stephy,Mavididi,11,3
299,Kasey,McAteer,11,3
300,Wilfred,Ndidi,11,3
301,Caleb,Okoli,11,2
302,Ricardo,Barbosa Pereira,11,2
303,Harry,Souttar,11,2
304,Jakub,Stolarczyk,11,1
305,Luke,Thomas,11,2
306,Jamie,Vardy,11,4
307,Jannik,Vestergaard,11,2
308,Danny,Ward,11,1
309,Harry,Winks,11,3
501,Oliver,Skipp,11,3
570,Abdul,Fatawu,11,3
606,Will,Alves,11,3
616,Ben,Nelson,11,2
635,Bilal,El Khannouss,11,3
310,Alisson,Ramses Becker,12,1
311,Trent,Alexander-Arnold,12,2
312,Stefan,Bajčetić Maquieira,12,3
313,Conor,Bradley,12,2
315,Bobby,Clark,12,3
316,Darwin,Núñez Ribeiro,12,4
317,Diogo,Teixeira da Silva,12,3
318,Ben,Doak,12,3
319,Harvey,Elliott,12,3
320,Endo,Wataru,12,3
321,Cody,Gakpo,12,4
322,Joe,Gomez,12,2
323,Ryan,Gravenberch,12,3
324,Curtis,Jones,12,3
325,Caoimhin,Kelleher,12,1
326,Ibrahima,Konaté,12,2
327,Luis,Díaz,12,3
328,Mohamed,Salah,12,3
329,Alexis,Mac Allister,12,3
330,James,McConnell,12,3
331,Tyler,Morton,12,3
332,Nathaniel,Phillips,12,2
333,Jarell,Quansah,12,2
334,Rhys,Williams,12,2
335,Andrew,Robertson,12,2
336,Dominik,Szoboszlai,12,3
337,Konstantinos,Tsimikas,12,2
339,Virgil,van Dijk,12,2
636,Federico,Chiesa,12,3
340,Manuel,Akanji,13,2
341,Nathan,Aké,13,2
342,Bernardo,Veiga de Carvalho e Silva,13,3
343,Oscar,Bobb,13,3
344,Scott,Carson,13,1
345,Kevin,De Bruyne,13,3
346,Jérémy,Doku,13,3
347,Ederson,Santana de Moraes,13,1
348,Phil,Foden,13,3
349,Jack,Grealish,13,3
350,Joško,Gvardiol,13,2
351,Erling,Haaland,13,4
352,Julián,Álvarez,13,4
353,João,Cavaco Cancelo,13,2
354,Mateo,Kovačić,13,3
355,Rico,Lewis,13,2
356,Matheus Luiz,Nunes,13,3
357,James,McAtee,13,3
358,Stefan,Ortega Moreno,13,1
360,Rodrigo 'Rodri',Hernandez,13,3
361,Rúben,Gato Alves Dias,13,2
362,John,Stones,13,2
363,Kyle,Walker,13,2
571,Sávio 'Savinho',Moreira de Oliveira,13,3
607,Nico,O'Reilly,13,3
