season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,id,first_name,second_name,unique_id,position,points_per_game,value_for_money,scaled_cost,scaled_points
2023/24,244930,4.5,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,435,Alex,Mighten,244930_2023/24,MID,,0.0,0.042553191489361764,0.0
2020/21,488404,5.5,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,384,Facundo,Pellistri Rebollo,488404_2020/21,MID,,0.0,0.12765957446808512,0.0
2022/23,488404,4.5,4.3,4,60,0,0,0,1,0,0,0,0,0,0,0,14,7.4,1.8,2.0,1.0,0,0.0,0.02,0.02,0.78,384,Facundo,Pellistri Rebollo,488404_2022/23,MID,0.06666666666666667,0.9302325581395349,0.03191489361702127,0.013201320132013201
2023/24,488404,4.5,4.2,13,164,0,1,0,2,0,0,0,0,0,0,0,36,47.0,19.3,66.0,13.3,1,0.51,0.39,0.9,4.17,384,Facundo,Pellistri Rebollo,488404_2023/24,MID,0.07926829268292683,3.095238095238095,0.021276595744680882,0.0429042904290429
2022/23,449871,5.0,4.7,77,2486,1,3,9,37,0,0,0,9,0,0,2,300,358.2,316.6,287.0,96.0,29,2.95,1.66,4.61,47.89,233,Amadou,Onana,449871_2022/23,MID,0.030973451327433628,16.382978723404253,0.07446808510638298,0.25412541254125415
2023/24,449871,5.0,4.7,66,2085,2,0,5,38,0,0,0,5,0,0,5,304,354.0,282.7,254.0,89.5,23,2.22,1.39,3.61,36.94,233,Amadou,Onana,449871_2023/24,MID,0.031654676258992806,14.042553191489361,0.07446808510638298,0.21782178217821782
2020/21,481624,4.5,4.4,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.5,0.0,0.1,0,0.0,0.0,0.0,0.0,569,Jaden,Philogene,481624_2020/21,MID,1.0,0.22727272727272727,0.042553191489361764,0.0033003300330033004
2021/22,481624,5.0,5.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,569,Jaden,Philogene,481624_2021/22,MID,0.25,0.2,0.10638297872340424,0.0033003300330033004
2022/23,481624,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,569,Jaden,Philogene,481624_2022/23,MID,,0.0,0.05319148936170215,0.0
2023/24,481624,4.5,4.5,1,3,0,0,0,1,0,0,0,0,0,0,0,3,0.4,0.3,2.0,0.3,0,0.0,0.0,0.0,0.65,569,Jaden,Philogene,481624_2023/24,MID,0.3333333333333333,0.2222222222222222,0.05319148936170215,0.0033003300330033004
2021/22,204580,5.0,4.9,90,2295,4,0,9,37,0,0,0,3,0,0,8,343,460.6,331.1,400.0,119.0,0,0.0,0.0,0.0,0.0,94,Vitaly,Janelt,204580_2021/22,MID,0.0392156862745098,18.36734693877551,0.09574468085106386,0.297029702970297
2022/23,204580,5.5,5.5,85,2201,3,1,8,28,0,0,0,3,0,0,5,357,411.2,258.8,243.0,91.3,24,2.33,1.56,3.89,29.68,94,Vitaly,Janelt,204580_2022/23,MID,0.03861880963198546,15.454545454545455,0.1595744680851064,0.28052805280528054
2023/24,204580,5.5,5.2,93,3054,1,4,9,52,0,0,0,8,0,0,1,466,503.4,562.5,285.0,135.3,37,1.82,3.44,5.26,47.65,94,Vitaly,Janelt,204580_2023/24,MID,0.030451866404715127,17.884615384615383,0.12765957446808512,0.3069306930693069
2022/23,224995,6.5,6.5,53,863,5,0,0,23,0,0,0,1,1,0,6,173,242.8,157.7,305.0,70.6,13,3.81,0.88,4.69,18.12,80,Luis,Sinisterra,224995_2022/23,MID,0.06141367323290846,8.153846153846153,0.2659574468085107,0.17491749174917492
2023/24,224995,5.5,5.5,43,685,2,2,1,18,0,0,0,0,0,0,2,149,221.4,251.4,343.0,81.7,7,2.62,1.03,3.65,11.39,80,Luis,Sinisterra,224995_2023/24,MID,0.06277372262773723,7.818181818181818,0.1595744680851064,0.1419141914191419
2018/19,166989,6.0,6.0,63,1087,3,5,3,14,0,0,0,2,0,0,6,267,299.0,269.7,249.0,81.8,0,0.0,0.0,0.0,0.0,57,Youri,Tielemans,166989_2018/19,MID,0.05795768169273229,10.5,0.21276595744680854,0.2079207920792079
2019/20,166989,6.5,6.1,117,2823,3,6,12,35,0,0,0,2,0,0,5,531,566.6,805.4,502.0,187.6,0,0.0,0.0,0.0,0.0,57,Youri,Tielemans,166989_2019/20,MID,0.04144527098831031,19.18032786885246,0.22340425531914893,0.38613861386138615
2020/21,166989,6.5,6.4,133,3356,6,4,11,50,0,0,0,6,0,0,11,633,840.4,788.2,462.0,209.1,0,0.0,0.0,0.0,0.0,57,Youri,Tielemans,166989_2020/21,MID,0.039630512514898686,20.78125,0.2553191489361703,0.4389438943894389
2021/22,166989,6.5,6.4,120,2629,6,4,6,42,0,0,0,3,0,0,14,532,723.8,578.9,460.0,175.8,0,0.0,0.0,0.0,0.0,57,Youri,Tielemans,166989_2021/22,MID,0.045644731837200456,18.75,0.2553191489361703,0.39603960396039606
2022/23,166989,6.5,6.1,86,2341,3,3,6,49,0,0,1,4,0,0,6,461,541.8,486.9,191.0,122.1,27,2.5,2.99,5.49,45.82,57,Youri,Tielemans,166989_2022/23,MID,0.03673643741990602,14.098360655737705,0.22340425531914893,0.2838283828382838
2023/24,166989,6.0,5.6,77,1613,2,6,4,27,0,0,0,3,0,0,2,318,369.2,325.4,136.0,83.3,17,1.24,1.98,3.22,31.07,57,Youri,Tielemans,166989_2023/24,MID,0.04773713577185369,13.75,0.17021276595744678,0.25412541254125415
2022/23,226944,5.0,4.8,44,1773,0,1,3,30,0,0,0,4,0,0,0,235,288.2,124.7,43.0,45.7,21,0.15,0.92,1.07,33.05,42,Boubacar,Kamara,226944_2022/23,MID,0.024816694867456288,9.166666666666668,0.08510638297872336,0.14521452145214522
